NM1101E,,,
,,,
"Communications, New Media and Society",,,
,,,
 Y,Y ,,
NM2101,,,
,,,
Theories Of Communications and New Media,,,
,,,
 Y, Y,,
NM2103,,,
,,,
Quantitative Research Methods ,,,
,,,
 Y, Y,,
NM2104,,,
,,,
Qualitative Communication Research Methods ,,,
,,,
 Y, Y,,
NM2201,,,
,,,
Intercultural Communication,,,
,,,
 Y,Y ,,
NM2203,,,
,,,
Social Media in Communication Management ,,,
,,,
 Y, Y,,
NM2207 ,,,
,,,
Computational Media Literacy *NEW,,,
,,,
Y, N,,
NM2208,,,
,,,
Principles of Visual Communication,,,
,,,
Y,Y ,,
NM2209,,,
,,,
Social Psychology of New Media,,,
,,,
 Y,N,,
NM2212,,,
,,,
Visual Design ,,,
,,,
 N,Y ,,
NM2213,,,
,,,
Introduction to Human-Computer Interaction Design ,,,
,,,
 N,Y ,,
NM2216,,,
,,,
User Centred Design Methodologies,,,
,,,
 Y,N ,,
NM2219,,,
,,,
Principles of Communication Management,,,
,,,
 Y,Y ,,
NM2220,,,
,,,
Introduction to Media Writing,,,
,,,
 Y,Y ,,
NM2301,,,
,,,
Persuasive Communication: Theory and Application,,,
,,,
 Y,Y ,,
NM2302,,,
,,,
New Media and Mobility,,,
,,,
 N,Y ,,
NM3202,,,
,,,
Governance and New Media,,,
,,,
 Y,Y ,,
NM3203,,,
,,,
Copyright and New Media,,,
,,,
 Y,Y ,,
NM3204,,,
,,,
E-Learning,,,
,,,
 N, Y,,
NM3205,,,
,,,
Digital Culture and Art ,,,
,,,
N,Y ,,
NM3207,,,
,,,
Philosophy in Communications and New Media ,,,
,,,
 Y,N ,,
NM3209,,,
,,,
Designing for Interactivity,,,
,,,
 N,Y ,,
NM3210,,,
,,,
Cybercrime and Society,,,
,,,
 Y,N ,,
NM3211,,,
,,,
News Reporting and Editing,,,
,,,
 Y,Y ,,
NM3213,,,
,,,
Digital Humanities ,,,
,,,
 Y,N,,
NM3214,,,
,,,
New Media and Science Communication ,,,
,,,
 Y,Y ,,
NM3215,,,
,,,
Advertising Strategies,,,
,,,
 Y,Y ,,
NM3216,,,
,,,
Game Design,,,
,,,
 Y,N ,,
NM3217,,,
,,,
Design for Strategic Communications,,,
,,,
 Y,Y ,,
NM3219,,,
,,,
Writing for Communication Management,,,
,,,
  Y,Y ,,
NM3221,,,
,,,
Mobile Interaction Design,,,
,,,
 Y,Y ,,
NM3222,,,
,,,
Interactive Storytelling,,,
,,,
  N,N ,,
NM3223,,,
,,,
Digital and Interactive Collage,,,
,,,
 Y,N ,,
NM3224,,,
,,,
Culture Industries,,,
,,,
 Y,Y ,,
NM3226,,,
,,,
Location-Based Interactive Experiences,,,
,,,
  Y,N ,,
NM3227,,,
,,,
Critical Game Design ,,,
,,,
 N, Y,,
NM3228,,,
,,,
Interactive Sequential Art,,,
,,,
 N,N ,,
NM3229,,,
,,,
Data Visualization,,,
,,,
 N,Y ,,
NM3230,,,
,,,
 Photographic & Video Storytelling,,,
,,,
 Y,Y ,,
NM3231,,,
,,,
Physical Interaction Design ,,,
,,,
  N,N ,,
NM3232,,,
,,,
Strategic Communication: Concepts ,,,
,,,
 Y,N ,,
NM3233,,,
,,,
Strategic Communication: Applications ,,,
,,,
 Y,Y ,,
NM3234,,,
,,,
"Leadership, Organisations and New Media ",,,
,,,
 Y,N ,,
NM3235,,,
,,,
Corporate Social Responsibility: Research and Practice,,,
,,,
 Y,N ,,
NM3236,,,
,,,
Ethics in Communication Management ,,,
,,,
 Y,N ,,
NM3237,,,
,,,
Health Communication,,,
,,,
 Y,Y ,,
NM3238 ,,,
Software Studies ,,,
,,,
 N,Y ,,
NM3239 ,,,
,,,
"Retrieving, Exploring and Analysing Data *NEW",,,
,,,
N,N ,,
NM3550,,,
,,,
Communications and New Media Internship,,,
,,,
Y,Y ,,
INM3550,,,
,,,
Extended Internship (Concurrent with NM3550),,,
,,,
 Y,Y ,,
NM3551,,,
,,,
FASS Undergraduate Research Opportunities,,,
,,,
 Y,Y ,,
NM4102,,,
,,,
Advanced Communications and New Media Research(Formerly known as NM4101),,,
,,,
 Y,Y ,,
NM4202,,,
,,,
Transnational Information Producers,,,
,,,
 Y,Y ,,
NM4203,,,
,,,
Infocom Technology Policy,,,
,,,
 Y,N ,,
NM4204,,,
,,,
Ethical Issues in Emergent Technologies,,,
,,,
,,,
 Y,N ,,
NM4206,,,
,,,
Media and Communications Regulation,,,
,,,
 Y,N ,,
NM4207,,,
,,,
Managing Communication Campaigns,,,
,,,
 Y,Y ,,
NM4208,,,
,,,
Designing for an Integrated Communications Environment,,,
,,,
 N, Y,,
NM4209,,,
,,,
Advanced Game Design,,,
,,,
 N,Y ,,
NM4210,,,
,,,
User Experience Design,,,
,,,
 Y,N ,,
NM4211,,,
,,,
Online Journalism,,,
,,,
 Y,N ,,
NM4212,,,
,,,
Media and Representation,,,
,,,
 Y,Y ,,
NM4213,,,
,,,
Digital Economies,,,
,,,
 Y,Y ,,
NM4218,,,
,,,
Knowledge Management: Approaches and Critique,,,
,,,
 Y,Y ,,
NM4219,,,
,,,
New Media in Health Communication ,,,
,,,
 Y,N ,,
NM4221,,,
,,,
Writing in Health Communications,,,
,,,
 N,Y ,,
NM4223,,,
,,,
New Media and Organizations,,,
,,,
 N,N ,,
NM4224,,,
,,,
Sound and Interaction,,,
,,,
 N,Y ,,
NM4225,,,
,,,
Design Fiction ,,,
,,,
 Y,N ,,
NM4226,,,
,,,
Interactive Media Design Capstone Project,,,
,,,
 N,Y ,,
NM4227,,,
,,,
Playable Art ,,,
,,,
 Y,N ,,
NM4228,,,
,,,
Crisis Communication ,,,
,,,
 Y,Y ,,
NM4229,,,
,,,
Cultural Communication and Creative Expression,,,
,,,
 Y,Y ,,
NM4230,,,
,,,
Communication for Social Change ,,,
,,,
 Y,N ,,
NM4401,,,
,,,
Honours Thesis,,,
,,,
 Y,Y ,,
XFA4403,,,
,,,
CNM Integrated Honours Thesis,,,
,,,
 Y,Y ,,
NM4660,,,
,,,
Independent Study,,,
,,,
 Y,Y ,,
NM4881A,,,
,,,
Topics in Media Studies: Social Media,,,
,,,
 Y, Y,,
NM4881B,,,
,,,
Postcolonial Approaches to Media and Communication,,,
,,,
 Y,Y ,,
NM4881C,,,
,,,
Critical Theory and Cultural Studies in New Media,,,
,,,
 N,Y ,,
NM4883B,,,
,,,
Enthomethodolgy for New Media ,,,
,,,
 N,N ,,
NM4883C ,,,
 Communication & Asian Holistic Healthcare,,,
,,,
 N,N ,,
NM4883D ,,,
 New Media Production and Public Engagement,,,
,,,
Y,N ,,
NM4883E,,,
,,,
 Health Communications and Social Marketing,,,
,,,
Y,Y ,,
NM5201,,,
,,,
State and Civil Society in The Information Age,,,
,,,
 N,N ,,
NM5204,,,
,,,
Computer-Mediated Environments,,,
,,,
 N,Y ,,
NM5205,,,
,,,
Cognition and Media,,,
,,,
 N,Y ,,
NM5207,,,
,,,
ICTs and Development,,,
,,,
 N,N ,,
NM5209,,,
,,,
Interactive Media Arts,,,
,,,
 N,N ,,
NM5210,,,
,,,
Interactive Media Design Research ,,,
,,,
 N,N ,,
NM5212,,,
,,,
Theories of Public Relations,,,
,,,
N,N ,,
NM5214,,,
,,,
Design for Open Science,,,
,,,
 N,Y ,,
NM5215,,,
,,,
Design Knowledge for Interactive Media,,,
,,,
 N,N ,,
NM5216,,,
,,,
"Culture, Communication & Health",,,
,,,
 Y,Y ,,
NM5217,,,
,,,
Designing for Prosocial Behavior ,,,
,,,
 N,N ,,
NM5660,,,
,,,
Independent Study,,,
,,,
Y,Y ,,
NM5771 ,,,
,,,
Networked Society, N,N ,
NM6101,,,
Advanced Theories in Communications and New Media,,,
,Y,Y ,
NM6104,,,
Qualitative Research Methods and Communications and New Media ,,,
,,,
Y,Y ,,
NM6660,,,
Independent Study ,,,
,,,
Y,Y ,,
GEM1036 / GEH1001,,,
Globalization and New Media ,,,
, Y,Y ,
GEM2027 / GET1008,Public Speaking and Critical Reasoning , Y,Y 
FMA1203C,,,
,,,
Smart Cities ,,,
,,,
 Y,Y ,,
FMA1204C,,,
,,,
Saving Face,,,
,,,
Y,Y ,,
GEH1061,,,
,,,
Representation and Media,,,
,,,
Y,Y ,,
GET1035,Critical Perspective in Advertising,Y,Y 
GES1031,Culture and Communication in Singapore,Y,Y 